Kategorie,Familie,Material,Bauform,Serie/Verbindungstyp,Metrisch/UNC,Type,PN [bar],filename [.stp]
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN10-9/16" UNF,500,BKH-DN10-9_16 UNF-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN13-3/4" UNF,500,BKH-DN13-3_4 UNF-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN20-1 1/16" UN,315,BKH-DN20-1 1_16 UN-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN25-1 5/16" UN,315,BKH-DN25-1 5_16 UN-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN4-G1/8,500,BKH-DN4-G1_8-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN6-G1/4,500,BKH-DN6-G1_4-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN10-G3/8,500,BKH-DN10-G3_8-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN13-G1/2,500,BKH-DN13-G1_2-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN16-G5/8,400,BKH-DN16-G5_8-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN20-G3/4,315,BKH-DN20-G3_4-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKHP420-DN20-G3/4,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN25-G1,315,BKH-DN25-G1-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKHP420-DN25-G1,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN25/32-G1 1/4,315,BKH-DN25_32-G1 1_4-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN ISO 228 FEMALE THREAD,,BKH-DN25/40-G1 1/2,250,BKH-DN25_40-G1 1_2-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN4-1/8" NPT,500,BKH-DN4-1_8 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN6-1/4" NPT,500,BKH-DN6-1_4 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN10-3/8" NPT,500,BKH-DN10-3_8 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN13-1/2" NPT,500,BKH-DN13-1_2 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN20-3/4" NPT,315,BKH-DN20-3_4 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKHP420-DN20-3/4" NPT,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25-1" NPT,315,BKH-DN25-1 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKHP420-DN25-1" NPT,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25/32-1 1/4" NPT,315,BKH-DN25_32-1 1_4 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25/40-1 1/2" NPT,250,BKH-DN25_40-1 1_2 NPT-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN4-6L,500,BKH-DN4-6L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN6-8L,500,BKH-DN6-8L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN8-10L,500,BKH-DN8-10L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN10-12L,500,BKH-DN10-12L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN13-15L,500,BKH-DN13-15L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN13-18L,500,BKH-DN13-18L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN16-18L,400,BKH-DN16-18L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN20-22L,315,BKH-DN20-22L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN25-28L,315,BKH-DN25-28L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN25/32-35L,315,BKH-DN25_32-35L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN25/40-42L,315,BKH-DN25_40-42L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN4-8S,500,BKH-DN4-8S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN6-10S,500,BKH-DN6-10S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN8-12S,500,BKH-DN8-12S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN10-14S,500,BKH-DN10-14S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN13-16S,500,BKH-DN13-16S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN13-20S,500,BKH-DN13-20S-G
